,id_tei,lcnaf_uri,organization_name,other_names,date_founded,date_dissolved,associated_places,org_type,bio_notes,data_notes,see_also,citations,notes
,excop,,Executive Council of Pennsylvania,,,,,Government,"The executive branch of the Pennsylvania government between 1777 and 1790. Headed by a president and a vice-president, and further comprised of a council member from each county. Benjamin Franklin served as its sixth president. Its powers included office appointment, inter-state relations, pardon-granting, and execution of the law. The executive council was replaced by a governor in 1790.","The organizational type, ""government,"" includes governmental bodies and other agents of the government like elected or appointed officials and members of the military.",,https://en.wikipedia.org/wiki/Supreme_Executive_Council_of_the_Commonwealth_of_Pennsylvania,
,meetexete,,Exeter Friends meeting,,1725,,"Stonersville, Berks County, Pennsylvania",Local meeting,"Exeter Preparative Meeting was established in Berks County, Pennsylvania in 1725 from Gwynned Monthly Meeting. It was attached to Philadelphia Monthly Meeting at Arch Street. Became Exeter Monthly Meeting in 1737.",,pym,quakermeetings.com,
,meetfairf,,Fairfax Friends meeting,,1744,,"Waterford, Fairfax County, Virginia",Local meeting,"Fairfax Preparative Meeting was established in Fairfax County, Virginia, in 1744 from Hopewell Monthly Meeting. Fairfax Monthly Meeting was established in 1745.",,vym,quakermeetings.com,
,meetfallo,,Fallowfield Friends meeting,,,,,Local meeting,"An indulged meeting for worship was established by New Garden Monthly Meeting in 1792. Care of this meeting was transferred to London Grove in 1795. A meeting for worship at Fallowfield was established by Western Quarterly Meeting of Friends in 1795, and the preparative meeting in 1796. In 1796, the preparative meeting and meeting for worship were transferred to Fallowfield Monthly Meeting.",,,http://trilogy.brynmawr.edu/speccoll/mm/fallomm.xml; http://trilogy.brynmawr.edu/speccoll/mm/fallopm.xml,
,fallmm,,Falls Friends meeting,the Falls;Falls Monthly Meeting,1683,,"Fallsington, Bucks County, Pennsylvania",Local meeting,"Worship began under Burlington Monthly Meeting in 1680 and Falls Monthly Meeting was established in 1683 in Bucks County, Pennsylvania. Falls Preparative Meeting was established around 1715.",,pym,quakermeetings.com,
,meetfalm,,Falmouth Friends meeting,,1751,,"Cumberland County, Maine",Local meeting,"Falmouth Monthly Meeting was established 1751 in Cumberland County, Maine.",,neym,quakermeetings.com,
,meetfarmi,,Farmington Friends meeting,Mud Creek,1789,,,Local meeting,"A meeting for worship at Farmington in Ontario County, New York, was allowed in 1789 under the care of East Hoosack. A Preparative Meeting was established in 1799 and became part of Farmington Monthly Meeting in 1803. ",,nyym,http://www.swarthmore.edu/library/friends/New YorkYM/farmipm2.xml; http://www.swarthmore.edu/library/friends/New YorkYM/farmipm.xml,
,meetferri,,Ferrisburgh Friends meeting,,1792,,,Local meeting,"Ferrisburgh Preparative Meeting in Vermont was established in 1792. Ferrisburgh Monthly Meeting was set off in 1801. It was replaced by Monkton Monthly Meeting in 1804, but this meeting was divided into Monkton and Ferrisburgh in 1815. ",,nyym,http://www.swarthmore.edu/library/friends/New YorkYM/ferripm.xml; http://www.swarthmore.edu/library/friends/New YorkYM/ferrimm.xml,
,meetfishi,,Fishing Creek Friends meeting,,1796,,"Millville, Columbia County, Pennsylvania",Local meeting,"Fishing Creek Preparative Meeting was established from Catawissa Monthly Meeting in Millville, Pennsylvania in 1796. Fishing Creek Monthly Meeting was established in 1799.",,pym,quakermeetings.com,
,,,,,,,,,,,,,
,meetflush,,Flushing Friends meeting,,1682,,,Local meeting,"Flushing was an alternate name for the Monthly Meeting of New York, from its establishment in 1682 until 1795. A new and separate meeting at Flushing was established there in 1805. Flushing Preparative Meeting existed sometime before 1777. ",,nyym,http://www.swarthmore.edu/library/friends/New YorkYM/flushpm.xml and http://www.swarthmore.edu/library/friends/New YorkYM/nymm2.xml and http://www.swarthmore.edu/library/friends/New YorkYM/flushmm.xml,
,fox,http://id.loc.gov/authorities/subjects/sh85051119,Fox indians,Meskwaki;Mesquakie;Muskwaki;Musquakie;Outagami,,,,Indian group,"Also referred to as the Meskwaki, Mesquakie, or Outagamie. This Algonquian-speaking tribe historically lived along the Saint Lawrence River in Ontario, but after war with the Hurons and European-bourne disease reduced their population, the Meskwaki migrated west. After a brief stint in eastern Michigan they moved on to the expansive Fox River of central Wisconsin. There they allied with the Sauk to recoup from the massive depopulation following the Fox Wars (1712-1742) against France. The tribe then migrated south to Iowa, Illinois, and Missouri. To ease land negotiation processes when settlers began to look westward, the US government merged the two tribes into the “Sac and Fox Confederacy” after 1832, which ten years later ceded all Iowa land claims in a treaty. After temporarily residing in Oklahoma, most Meskwaki returned to Iowa around because of an 1851 state law that allowed the tribe to purchase land, and by 1857 had estasblished a settlement near Tama County.",,sacks,https://en.wikipedia.org/wiki/Meskwaki,
,meetfrank,,Frankford Friends meeting,Frankfort meeting,1702,,"Philadelphia, Pennsylvania",Local meeting,"A meeting for worship began at Frankford in Pennsylvania in 1683, Frankford Preparative Meeting was established 1702 from Abington Monthly Meeting. Frankford Monthly Meeting was established in 1816.",,pym,quakermeetings.com,
,freeq,,Free Quakers,,1781,,,Religious group,The Religious Society of Free Quakers was established in 1781 in Philadelphia by members of the Religious Society of Friends most of whom had been disowned for failure to ahere to the Peace Testimony during the Revolutionary War.,,,https://en.wikipedia.org/wiki/Free_Quakers,
,galwamm,,Galway Friends meeting,Galaway Monthly Meeting,1797,,,Local meeting,"Galway Preparative Meeting was established from Saratoga Monthly Meeting in 1797 in Galway, New York. Galway Monthly Meeting was established in 1802.",,nyym,quakermeetings.com,
,genesee,,Genesee indians,,,,,Indian group,"Since recorded history and possibly earlier, the western branch of this Seneca people mostly lived along the Genesee River, which they used to travel into Pennsylvania and Ohio. From this position they made several incursions on rival tribes in the 17th and 18th centuries, as well as American Revolutionaries in the latter. In 1788 they sold land rights east of the Genesee to New York state. In 1797 signed the Treaty of Big Tree, which sold lands west of the Genesee River except for ten reservations, including Allegheny and Cattaraugus. ",,seneca,https://en.wikipedia.org/wiki/Seneca_people,
,germpm,,Germantown Friends meeting,Germantown Preparative meeting,1728,,"Philadelphia, Pennsylvania",Local meeting,"Worship began around 1683, then Germantown Preparative Meeting was established in 1728 in Philadelphia under Cheltenham (Abington) Monthly Meeting, then from Frankford Monthly Meeting. ",,pym,quakermeetings.com,
,meetgosh,,Goshen Friends meeting,,1703,,"Goshenville, Chester County, Pennsylvania",Local meeting,"Goshen Preparative Meeting established 1703 in Goshenville, Pennsylvania from Providence Monthly Meeting.  Goshen Monthly Meeting established in 1722.",,pym,quakermeetings.com,
,meetghall,,Green Halls Friends meeting,,,,,Local meeting,"Joshua Evans appointed a meeting here in New York near the Unadilla River, in 1796.",,,,
,meetgreew,,Greenwich Friends meeting,,before 1760,,"Greenwich, Cumberland County, New Jersey",Local meeting,"Greenwich Preparative Meeting was established before 1760 in Greenwich, New Jersey from Salem Monthly Meeting. Monthly Meeting established in 1784.",,pym,quakermeetings.com,
,meetgwy,,Gwynedd Friends meeting,,1702,,"Gwynedd, Montgomery County, Pennsylvania",Local meeting,"Gwynedd Preparative Meeting was established 1702 in Gwynedd, Pennsylvania from Old Haverford Monthly Meeting. Gwynedd Monthly Meeting established 1715",,pym,quakermeetings.com,
,meethaddo,,Haddonfield Friends meeting,,1682,,,Local meeting,"A monthly meeting known as ""Newton"" was established by 1686 under Salem Quarterly Meeting of Friends. The monthly meeting may have come into existence as early as 1682 at the division of the short-lived monthly meeting for Pine Point and Shackamaxon. In 12mo 1721/2, the monthly meeting removed to Haddonfield, and its name was changed to ""Haddonfield Monthly Meeting"". In 1794, the meeting was transferred to Haddonfield Quarterly Meeting of Friends. ",,pym,http://trilogy.brynmawr.edu/speccoll/mm/haddomm.xml,
,haddoqm,,Haddonfield Quarterly Meeting of Friends,,,,,Quarterly meeting,Haddonfield Quarterly Meeting of Friends was established in 1794 by Philadelphia Yearly Meeting out of a division of Gloucester and Salem [Salem] Quarterly Meeting of Friends. Its first business sessions opened in 1795.,,pym,http://trilogy.brynmawr.edu/speccoll/mm/haddoqm.xml,
,meethalf,,Half-moon Valley Friends meeting,,1798,,,Local meeting,A meeting for worship was allowed in Warriors' Mark Township -- now Halfmoon -- in Pennsylvania in 1790. Halfmoon Preparative Meeting was established under the care of Warrington in 1798. Centre Monthly Meeting was granted in 1803.,,bym,quakermeetings.com,
,meethamb,,Hamburg Friends meeting,Hamburgh Meeting,1813,,,Local meeting,"Hamburgh (Eden) Preparative Meeting was established in Orchard Park (formerly East Hamburg), New York in 1813 under Pelham Monthly Meeting, then from Farmington Monthly Meeting. Hamburgh Monthly Meeting was established in 1814.",,nyym,quakermeetings.com,
,meethardw,,Hardwick Friends meeting,,1797,,,Local meeting,"A monthly meeting was established under the name Hardwick and Mendham Monthly Meeting in 1797, and its name was changed to Hardwick and Randolph Monthly Meeting in 1811. ",,nyym,http://www.swarthmore.edu/library/friends/New YorkYM/haranmm.xml; http://www.swarthmore.edu/library/friends/New YorkYM/haarapm.xml,
,meethartf,,Hartford Friends meeting,,1788,,,Local meeting,"First meeting for worship established in 1788. In 1800, became a preparative meeting under the New York Yearly Meeting. Given title to one acre of land along Quaker Lane in 1799, where Meeting House, school, and cemetery were built. In 1828 most members decided to move west to Ohio. ",,nyym;meetehart,https://www.quakercloud.org/cloud/pages/hartford-meeting-history,
,harvcoll,,Harvard College,,1636,,,University or college,"Formed in 1636 by the Massachusetts Bay Colony with the purpose of training new clergy, although it was not formally affiliated with any particular Christian sect. Located in Cambridge, Massachusetts. Built an Indian College building in 1656 with the intention of educating male Indian youths, but the project failed. By 1700 Harvard was developed enough as an institution to self-regulate, and began contributing to local welfare projects. In 1708 the college inaugurated its first secular president John Leverett, who largely preserved the traditional curriculum and tried to keep the college nondenominational.",,,https://en.wikipedia.org/wiki/Harvard_University;https://www.britannica.com/topic/Harvard-University,
,meethav,,Haverford Friends meeting,,1684,,,Local meeting,"Worship began at Haverford in Pennsylvania in 1683, and a monthly meeting was established there in 1684. Haverford Preparative Meeting was established in 1701.",,pym;meetrad,quakermeetings.com,
,hollco,,Holland Land Company,,1792,,,review,"An unincorporated syndicate of thirteen Amsterdam investors who purchased a significant portion of western New York and Pennsylvania between 1792 and 1793. Since foreigners were unable to own land in the United States until 1798, these investors initially placed funds in the hands of citizen trustees like Robert Morris to perform the official purchases. They furthermore had to negotiate with the Native Americans who originally inhabited the land, participating in the Treaty of Big Tree (1797) on the Genesee River. The company sold the last of this land in 1840, and subsequently dissolved around 1846. ",,,https://en.wikipedia.org/wiki/Holland_Land_Company,
,meethope,,Hopewell Friends meeting,,1735,,,Local meeting,During the 1730s a number of Quaker families from Maryland and Pennsylvania moved into Frederick County in VIrginia. A meeting for worship at Opeuan was allowed in 1735. Later that year Hopewell Monthly Meeting was set off from Nottingham.,,bym,quakermeetings.com,
,meethorsh,,Horsham Friends meeting,,1717,,,Local meeting,Worship began in Horsham in 1717. A preparative meeting was established by Abington in 1717; it was transferred to Horsham Monthly Meeting on its establishment in 1782.,,pym,http://trilogy.brynmawr.edu/speccoll/mm/horshmm.xml; http://trilogy.brynmawr.edu/speccoll/mm/horshpm.xml,
,meethudson,,Hudson Friends meeting,,1792,,,Local meeting,"Hudson Preparative Meeting was established in Hudson, New York, in 1792 from Creek Monthly Meeting. Many of its members were from Nantucket Monthly Meeting. Hudson Monthly Meeting was established 1793.",,nyym,quakermeetings.com,
,humso,,Humane Society,,1787,,,review,"Founded in 1787 as the “Society for the Relief of Distressed Debtors,” which sought to ameliorate prison conditions and free what debtors it could. Upon enlarging its plan to cater to the poor of the city in general, in 1803 the group rebranded as the “Humane Society of the City of New York.” In 1806, it began a campaign to educate the population about resuscitation techniques for drowned people. Incorporated by the city legislature in 1814. Located at the rear of the debtor's prison, and operated a soup kitchen on Tryon-street.",,,A sketch of the origin and progress of the Humane society of the city of New York;http://socialarchive.iath.virginia.edu/ark:/99166/w6d01t4n,
,meethunti,,Huntington Friends meeting,,1750,,,Local meeting,Huntington Preparative Meeting was established around 1750. ,,bym,http://trilogy.brynmawr.edu/speccoll/bym/huntipm.xml,
,iym,,Indiana Yearly Meeting of Friends,,1821,,,Yearly meeting,"Indiana Yearly Meeting opened in 1821, set off from Ohio Yearly Meeting.",,,quakermeetings.com,
,iymindian,,Indiana Yearly Meeting of Friends. Indian Committee,,1821,,,Yearly meeting,The Indiana Yearly Meeting Indian Committee was established at the first meeting of the Indiana Yearly Meeting in 1821. A committee of men and women were appointed to work with committees from the Baltimore and Ohio Yearly Meetings regarding the “Indian concerns.”,,," http://www.jstor.org/stable/pdf/41944798.pdf?_=1467921115981; http://quaker.org/ovym/pubs/IndianaYearlyMeetingHistory.pdf
",
,,,Iowa Yearly meeting of Friends,,1863,,,Yearly meeting,"Iowa Yearly Meeting opened in 1863, set off from the Orthodox branch of Indiana Yearly Meeting.",,,quakermeetings.com,
,meetjacks,,Jack's Swamp Friends meeting,,1794,,,Local meeting,"Jackswamp Monthly Meeting was established 1794 in Jackswamp, North Carolina, from Rich Square Monthly Meeting.",,ncym,quakermeetings.com,
,jesuit,,Jesuits,,1540,,,Religious group,"The Jesuits are a Catholic religious order officially recognized by the Pope in 1540. Beginning in 1625 the Jesuits were active in the French colonies of North America, working among the Huron and Iroquois to varying success. England’s (officially Anglican Church) control of French territory steadily curtailed Jesuit activity in Canada until in 1773 when it stopped altogether.",,catholic,https://en.wikipedia.org/wiki/Society_of_Jesus;https://www.britannica.com/topic/Jesuits,
,meetjuni,,Junius Friends meeting,,1814,,,Local meeting,"Junius meeting was located in Waterloo Township in New York State. A preparative meeting was established by Farmington in 1814, and a monthly meeting set off in 1815.",,nyym,http://www.swarthmore.edu/library/friends/New YorkYM/juniumm.xml,
,kansas,,Kansas indians,Cansas,,,,Indian group,"Kansa, Kanza, or Kaw, meaning “Wind People.” This Siouan-speaking people were semi-sedentary corn harvesters for half the year, then hunted buffalo for the other. Their territory extended over northern and eastern Kansas. In 1825 the Kaw ceded parts of their territory in Kansas and Missouri to the US. After lapsing into a severely weakened state following two smallpox outbreaks in 1827-1828 and 1831-1832, they were vulnerable enough to cede most of the remaining land in 1846 for a reservation at Council Grove, Kansas. ",,,https://en.wikipedia.org/wiki/Kaw_people ; https://www.emporia.edu/cgps/tales/o93tales.html,
,kaska,http://id.loc.gov/authorities/subjects/sh85071714,Kaskaskia indians,Kaskasky;Kaskaskie,,,,Indian group,"The Kaskaskia, Kaskasky, or Kaskaskie were an Algonquian-speaking tribe located along the Illinois as well as between the Wabash and Mississippi Rivers. They were members of the Illinois (Illiniwek) Confederacy along with the Michigamea, Peoria, and Cahokia, and others. Their first contact with Europeans occurred in 1673, with a permanent French mission established near their villages in 1702. Between 1764-1778 their population sharply declined, likely a result of warfare, disease, and alcohol. From 1795 onwards the Kaskaskia signed a series of treaties surrendering most of their land rights in Illinois to the US govenrment, and in 1832 officially united with the Peoria tribe and moved to a reservation in Kansas.",,,https://en.wikipedia.org/wiki/Kaskaskia ; http://www.okhistory.org/publications/enc/entry.php?entry=KA006,
,meetkenda,,Kendal Friends meeting,,1687,,,Local meeting,"Land was purchased for a meetinghouse at Kendal in Cumbria, England, in 1687.",,lym,,
,meetkenne,,Kennett Friends meeting,,1707,,,Local meeting,"Worship began in Kennett around 1707, and a preparative meeting was established around 1712-1713. Quaker population shifted northward, and the monthly meeting formerly called Newark began to meet regularly at Kennett meeting house in 1760.",,pym,http://trilogy.brynmawr.edu/speccoll/mm/kennemm.xml; http://trilogy.brynmawr.edu/speccoll/mm/kennepm.xml,
,kicka,http://id.loc.gov/authorities/subjects/sh85072238,Kickapoo indians,Kiikaapoa;Kiikaapoi;Kikapoo;Kikapú,,,,Indian group,"Autonym Kiikaapoi or Kiikaapoa. These Algonquian-speaking relatives of the Sauk and Fox tribes were members of the Wabash Confederacy alongside the Wea and Piankashaw. Their first European contact came in late in the 17th century, when they were found in Wisconsin. The Kickapoo ranged over a vast territory from Georgia to Texas to New York, but mostly based their habitations around the Wabash River. In the early 18th century the tribe began splitting up. Some moved into the Milwaukee River territory of the former Illinois, who had been destroyed around 1765, while others moved west to the Sangamon River or east to the Wabash River. Many fought for Tecumseh’s uprising in 1811. In 1809 and 1812, the Kickapoo ceded their land rights to the United States and moved to Missouri and Kansas.",,wea;piank,http://www.britannica.com/topic/Kickapoo ; https://en.wikipedia.org/wiki/Kickapoo_people,
,kingsm,,Kingsboro Friends meeting,Kingsborough,1804,,,Local meeting,Kingsborough (Mayfield) was a preparative meeting under the care of Galway from 1804 until at least 1813.,,nyym,quakermeetings.com,
,meetking,,Kingwood Friends meeting,Bethlehem Monthly Meeting;Kingwood Monthly Meeting,1744,,,Local meeting,"Bethlehem Monthly Meeting was established in 1744 in Quakertown, New Jersey from Chesterfield Monthly Meeting, and renamed Kingwood Monthly Meeting in 1748. Kingwood Preparative Meeting was established in 1756 under Kingwood Monthly Meeting.",,pym,quakermeetings.com,
,meetkline,,Kline Kill Friends meeting,Clineykill,1793,,,Local meeting,"Considerable numbers of Friends settled in the area of Ghent, New York in the 18th century, through which the Kline Kill creek flows. Its first meetings were held in the home of Abram Macy in 1793. They built a small meetinghouse in 1795.",,nyym,http://history.rays-place.com/ny/colu/ghent.htm,
,meetlfall,,Little Falls Friends meeting,,1747,,,Local meeting,Friends worshipped at Little Falls as early as 1747. Little Falls Monthly Meeting was set off from Gunpowder Monthly Meeting in 1815. ,,bym,http://trilogy.brynmawr.edu/speccoll/bym/litfamm.xml,
,meetlnine,,Little Nine Partners Friends meeting,,1800,,,Local meeting,Little Nine Partners Preparative Meeting was a subordinate of Creek Monthly Meeting from 1800-1803. It was then part of Clinton Corners Monthly Meeting until 1846.,,nyym,quakermeetings.com,
,meetlittle,,Little River Friends meeting,,1677,,,Local meeting,"Pasquotank Monthly Meeting was established in Elizabeth City, North Carolina in 1677. It was renamed Little River Monthly Meeting sometime before 1741. A preparative meeting was established in 1740. ",,ncym,quakermeetings.com,
,meetlondon,,London Grove Friends meeting,,1714,,,Local meeting,"Indulged in 1714 under Kennett (Newark) Monthly Meeting. London Grove Preparative Meeting was established in 1724 in London Grove, Pennsylvania from New Garden Monthly Meeting. London Grove Monthly Meeting was set off in 1792.",,pym,quakermeetings.com,
,lym,,London Yearly meeting,,1660,,,Yearly meeting,"A Yearly Meeting of Quakers composed of members from all Area Meetings in England, Scotland, Wales, the Channel Islands, and the Isle of Man. First held in 1660, it did not meet regularly until 1668. Established a parallel Yearly Meeting for women in 1784. ",,,https://en.wikipedia.org/wiki/Britain_Yearly_Meeting ; http://qfp.quaker.org.uk/chapter/6/,
added,lowcan,,Lower Canada,French Canada;New France,1791,,,Government,"The conclusion of the Seven Years War (1763) saw the area of New France become a colony of the Kingdom of Great Britain, which it initially governed – and with minimal change – as the Province of Quebec. Having absorbed a large influx of Loyalist refugees from the Revolutionary War, however, in 1791 this body was divided into the separate provinces of Upper Canada (now Southern Ontario) and Lower Canada (now Quebec) to better accommodate the cultural differences of the newer English and older Canadian French settlers. Each half received its own representative assembly and governmental administration, and as the majority of its population was French Canadian, Lower Canada retained many of the institutions and practices of the earlier New France colony. Despite its large population, the province was agitated by fears of Anglophone dominance. Lower Canada was so called because of its relative distance from the headwaters of the Saint Lawrence River. ",,canad,"https://en.wikipedia.org/wiki/Lower_Canada
https://en.wikipedia.org/wiki/History_of_Canada",
,mahican,http://id.loc.gov/authorities/subjects/sh85079852,Mahican Indians,Mohican;River Indians,,,,Indian group,"Also known as Mohican. An Algonquian-speaking tribe situated in the upper Hudson valley of New York. In the fur-trading era of the 17th century, they were a regional power that rivaled the Mohawks and worked as trade middlemen with the Europeans. In the 18th century, however, European and Iroquois pressure caused the Mahican to migrate into western New England and settle at Stockbridge, Massachusetts (1738), where many converted to Christianity and became known as the “Stockbridge Indians.” Missionizing among other Mahican groups also intensified in the 1740s. The Mahican fought on the side of the colonists in the Revolutionary War. In the 1780s, the Stockbridge accepted an Onedia offer to share their New York territory and relocated accordingly, where they established the European-modeled agricultural town of New Stockbridge. In the 1820s and 30s, they moved to Wisconsin and lived with the Munsees. ",,brotherton,https://en.wikipedia.org/wiki/Mahican ; http://www.britannica.com/topic/Mohican ; http://www.mohican.com/originearlyhistory/ ; Handbook of the North American Indians,
,maidem,,Maiden Creek Friends meeting,,1735,,,Local meeting,Maiden Creek Preparative Meeting was part of of Gwynedd Monthly Meeting from 1735 until 1737. It was transferred to Exeter  when that monthly meeting was set off in 1737.,,pym,quakermeetings.com,
,meetmakef,,Makefield Friends meeting,,1750,,,Local meeting,"Indulged in 1750, Makefield Preparative Meeting was established in 1790 in Dolington, Pennsylvania by Falls Monthly Meeting. Makefield Monthly Meeting was set off in 1820.",,pym,quakermeetings.com,
,meetmama,,Mamaroneck Friends meeting,,1716,,,Local meeting,"Westchester Preparative Meeting was established in 1716 and a monthly meeting in 1725. Its name was changed from Westchester Meeting in ca. 1728 to Mamaroneck Meeting, then ca. 1745 to Purchase Meeting.",,nyym,quakermeetings.com,
,manah,http://id.loc.gov/authorities/subjects/sh85080367,Manahoac indians,Mahock;Mannahoac,,,,Indian group,"Also known as Mahock, Mannahoac. A small Siouan-speaking tribe that, at the time of European contact, lived along the Rappahannock River in northern Virginia. They were allied to the Monacan, Saponi, and Tutelo tribes, and competed against both the Powhatan Confederacy and the Iroquois. The Manahoac might have been one of the displaced tribes that participated in the Battle of Bloody Run (1656). In 1700, two of their sub-tribes (Stegaraki, Ontponea) were present at Fort Christanna, a missionary and educational facility sponsored by the College of William and Mary. After 1723, the Manahoac probably merged with the Tutelo and Saponi, who were then adopted by the Cayuga 30 years later.",,cayugaind,https://en.wikipedia.org/wiki/Manahoac ; https://www.accessgenealogy.com/native/manahoac-indians.htm,
,meetmarlb1,,Marlborough Friends meeting,,1782,,,Local meeting,"(New) Marlborough Preparative Meeting established in Marlboro, New York in about 1782 by Cornwall Monthly Meeting. Marlborough Monthly Meeting was set off in1804.",,,quakermeetings.com,
,massas,,Massasauga indians,Massasago;Missisauga;Massasiniway indians,,,,Indian group,"Also known as Massasago, Mississauga, Mississaga. An Algonquian-speaking people located along the Mississagi and Credit Rivers as well as the Kawatha Lakes of what is now Ontario. England began purchasing land from them in 1781 and continued to do so until 1825, when the government built the Mississauga a village near the Credit River homeland. In 1847, the Mississauga left this village to found a new one in Hagersville, Ontario.",merge essay with below and then delete below,miami,https://en.wikipedia.org/wiki/Mississaugas ; http://www.heritagemississauga.com/page/Aboriginal-Culture,
,massaw,http://id.loc.gov/authorities/subjects/sh92003323,Massawomeck indians,Massawomic;Massomack;Pocoughtranack;Pocoughtronack,,,,Indian group,"https://en.wikipedia.org/wiki/Christian_Munsee;http://bdhp.moravian.edu/community_records/christianindians/narrative.html
http://nativeamericannetroots.net/diary/1459
http://www.easterndelawarenations.org/people.html
https://en.wikipedia.org/wiki/Gnadenhutten,_Ohio
",If more detail is wanted: https://tripod.brynmawr.edu/find/Record/.b2044998,seneca,,
,matta,,Mattaponi indians,Mattahony;Mattapony,,,,Indian group,"Mattahony, Mattapony. The Mattaponi homeland bordered the river named after them in eastern Virginia. This Algonquian-speaking people were culturally similar to another Virginian tribe, the Pamunkey. They were members of the powerful Powhatan Chiefdom of the early 17th century, which frequently interacted with the Jamestown settlement. The Mattaponi not only endured an attack during Bacon’s Rebellion, but also continued to remain on and defend the rights to their original land in the 17th and 18th centuries. In 1843 they defeated the Gregory Petition, a proposed law that sought to remove their sovereign status as Indians. The neighboring Pamunkey Baptist Church was founded in 1865, which many Mattaponi attended.",,,,
,meetmenal,,Menallen Friends meeting,,1748,,,Local meeting,Warrington Monthly Meeting allowed a preparative meeting at Menallen in 1748. Menallen Monthly Meeting was set off in 1780 for Friends from Menallen and Huntington. ,,bym,http://trilogy.brynmawr.edu/speccoll/bym/menalmm.xml,
,meetmer,,Merion Friends meeting,,1686,,,Local meeting,Worship at Merion in Pennsylvania began before 1686. Merion Preparative Meeting was established in 1701 under Haverford (Radnor) Monthly Meeting.,dup,pym,quakermeetings.com,
,metho,,Methodist Church,Methodists,,,,Religious group,"An 18th Century Protestant movement, the Methodist Church first began as a reform of, but eventually separated from, the Church of England. It was founded by the Anglican deacon John Wesley, who denied predestination and emphasized charity, universal priesthood, the primacy of scripture, and pious activity. It also encouraged “social holiness,” or missionary zeal, charity, and service to the poor. Wesley sent the preacher Francis Asbury to America in 1771, and in 1784 responded to the shortage of preachers in America by ordaining some himself. Through the institution of circuit riders—young men who rode horses from frontier town to frontier town to preach—the church grew tremendously, but also experienced a wave of smaller schisms. ",,,https://en.wikipedia.org/wiki/Methodism; https://www.britannica.com/topic/Methodism,
,miami,http://id.loc.gov/authorities/subjects/sh85084652,Miami indians,Miamy;Miamie;Myaamia;Twatwa;Twightwee;Mississinaway,,,,Indian group,"Miamie, Miamy, Twightwee or autonym Myaamia (the downstream people). An Algonquian-speaking people residing in the Great Lakes region, specifically around Western Lake Michigan. Their first European contacts were both Jesuit missions as well as French and English colonial projects, the effects of which—a combination of war and disease— devastated the local population. The pressure of advancing settlers led to some consolidation of the fragmented tribes. Their response to the Revolutionary War was mixed, with some Miami supporting the Revolutionaries, others the British, and many professing no open hostility to either. Regardless, in an effort to secure its newly-won territory after the war, the United States began the Northwest Indian War (1785-1795) against a large confederacy of Indian tribes in the recently vacated Northwest Territory, among which were the Miami and their famous leader, Little Turtle. The aftermath of this campaign was a series of major land cessions, particular examples being the Treaty of Greenville (1795) and the Treaty of Mississiniwas (1825). Some Miami became US citizens and retained individual ownership of their native land in Indiana, while those who chose to retain sovereignty migrated first to Kansas, and then to Oklahoma.  ",,,https://en.wikipedia.org/wiki/Miami_people ; http://miamination.com/node/11,
,miamm,,Miami Friends meeting,,1802,,,Local meeting,"Miami Meeting was settled in Waynesville, Ohio in 1799 and indulged in 1802 under Westland Monthly Meeting. Preparative and monthly meetings were established in 1803.",,oym,quakermeetings.com,
,meetmiddl,,Middletown Friends meeting,,1683,,,Local meeting,"Worship at Middletown began in 1680 first under Rancocas (Burlington) Monthly Meeting, then from Falls Monthly Meeting. Middletown Monthly Meeting was established in Langhorne, Pennsylvania in 1683. Middletown Preparative Meeting was established in 1723.",,pym,quakermeetings.com,
,meetmilt,,Milton Friends meeting,,1815,,,Local meeting,"Established in 1818, Milton Monthly Meeting was set off from Galway Monthly Meeting. A preparatie meeting had been established in 1815.",,nyym,http://www.swarthmore.edu/library/friends/New YorkYM/greenmm.xml,
,mingo,http://id.loc.gov/authorities/subjects/sh85085636,Mingo indians,Mingwe,,,,Indian group,"A slur taken from the Lenape word mengwe, meaning “sneaky.” First used in the mid 18th century by Christianized Delaware-Mahicans to refer to the Haudenosaunee peoples, which later came to be used by Moravian missionaries, settlers, and (perhaps innocently) by historians as well. In later writings, it refers specifically to the Haudenosaunee peoples relocated in Ohio, although it must be stressed that these never separated from the Confederacy and continued to refer to themselves by original tribal names (e.g. Seneca, Onondaga, Tuscarora). Most of this group were Cayuga or Seneca who left their New York homeland under pressure of colonial settlers in the mid 18th century. By the 1800s, they had established inter-tribal villages along the Sandusky and Scioto Rivers of central Ohio, but were forced to relocate to Oklahoma later in the century.",,,Encyclopedia of the Haudenosaunee ; http://www.ohiohistorycentral.org/w/Mingo_Indians?rec=608,
,misscon,,Missionary Society of Connecticut,,1798,,,Religious group,"A congregational missionary group formed in 1798. It worked among settlers and to a lesser extent Indians in the settlements along the Northern frontier, where it distributed theological literature and even helped establish libraries. The distribution system was relatively complex and relied heavily on lay people (in fact, some communities were autodidactic with no pastors). By 1830, the society stopped performing direct work and instead administered funds to other missionary groups operating further west. ",,,http://www2.wheaton.edu/bgc/archives/GUIDES/144.htm ; https://www.ischool.utexas.edu/~lcr/archive/fulltext/LandC_34_1_Rohrer.pdf,
